sourceCRS         ,sourceVRS  ,targetCRS          ,sourceOrigin,dxRoundTrip,dyRoundTrip,dzRoundTrip,dxOriginal ,dyOriginal ,dzOriginal ,dxProj,dyProj,dzProj,stepsForward                                                                                                                                                                                                                                                                                                                                                               ,stepsReverse                                                                                                                                                                                                                                                                                         
DB_Ref_GK5        ,Normal     ,EGBT22_Geoc        ,original    ,-7.034E-005,2.311E-005 ,2.802E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.                                                                                              ,Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                              
DB_Ref_GK5        ,Normal     ,EGBT22_Geoc        ,original    ,-7.037E-005,2.309E-005 ,2.931E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.                                                                                              ,Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                              
DB_Ref_GK5        ,Normal     ,ETRS89_DREF91_UTM33,original    ,-7.035E-005,2.309E-005 ,2.877E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.                                         ,Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                         
DB_Ref_GK5        ,Normal     ,ETRS89_DREF91_UTM33,original    ,-7.036E-005,2.311E-005 ,2.875E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.                                         ,Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                         
DB_Ref_GK5        ,Normal     ,ETRS89_DREF91_UTM33,original    ,-7.034E-005,2.311E-005 ,2.802E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.                                         ,Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                         
DB_Ref_GK5        ,Normal     ,ETRS89_DREF91_UTM33,original    ,-7.037E-005,2.309E-005 ,2.931E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33.                                         ,Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                         
DB_Ref_GK5        ,Normal     ,ETRS89_DREF91_Geod ,original    ,-7.035E-005,2.309E-005 ,2.877E+000 ,3.612E-009 ,1.388E-009 ,-1.000E-004,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.                                                                                                ,Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                
DB_Ref_GK5        ,Normal     ,ETRS89_DREF91_Geod ,original    ,-7.036E-005,2.311E-005 ,2.875E+000 ,3.286E-009 ,-2.466E-009,-6.967E-010,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.                                                                                                ,Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                
DB_Ref_GK5        ,Normal     ,ETRS89_DREF91_Geod ,original    ,-7.034E-005,2.311E-005 ,2.802E+000 ,-1.520E-009,-1.601E-010,-8.193E-010,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.                                                                                                ,Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                
DB_Ref_GK5        ,Normal     ,ETRS89_DREF91_Geod ,original    ,-7.037E-005,2.309E-005 ,2.931E+000 ,-6.103E-009,2.128E-009 ,-1.254E-009,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.|>Conversion from ETRS89_DREF91_Geoc to ETRS89_DREF91.                                                                                                ,Conversion from ETRS89_DREF91 to ETRS89_DREF91_Geoc.|>Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                
DB_Ref_GK5        ,Normal     ,ETRS89_DREF91_Geoc ,original    ,-7.035E-005,2.309E-005 ,2.877E+000 ,2.533E-005 ,-4.333E-005,-1.972E-005,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.                                                                                                                                                      ,Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                      
DB_Ref_GK5        ,Normal     ,ETRS89_DREF91_Geoc ,original    ,-7.036E-005,2.311E-005 ,2.875E+000 ,5.311E-005 ,-8.871E-006,-3.922E-006,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.                                                                                                                                                      ,Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                      
DB_Ref_GK5        ,Normal     ,ETRS89_DREF91_Geoc ,original    ,-7.034E-005,2.311E-005 ,2.802E+000 ,4.561E-005 ,-3.010E-005,5.089E-005 ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.                                                                                                                                                      ,Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                      
DB_Ref_GK5        ,Normal     ,ETRS89_DREF91_Geoc ,original    ,-7.037E-005,2.309E-005 ,2.931E+000 ,1.377E-004 ,-4.635E-005,9.174E-007 ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.|>Transformation from DB_Ref_Geoc to ETRS89_DREF91_Geoc.                                                                                                                                                      ,Transformation from ETRS89_DREF91_Geoc to DB_Ref_Geoc.|>Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                      
DB_Ref_GK5        ,Normal     ,ETRS89_CZ_Geod     ,            ,           ,           ,           ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Conversion from DB_Ref_Geod with Normal heights to ETRS89_CZ_Geod is not supported.                                                                                                                                                                                                                                            ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to ETRS89_CZ_Geod is not supported.                                                                                                                                                                                          
DB_Ref_GK5        ,Normal     ,ETRS89_CZ_Geoc     ,            ,           ,           ,           ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Conversion from DB_Ref_Geod with Normal heights to ETRS89_CZ_Geoc is not supported.                                                                                                                                                                                                                                            ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to ETRS89_CZ_Geoc is not supported.                                                                                                                                                                                          
DB_Ref_GK5        ,Normal     ,DB_Ref_Geod        ,original    ,0.000E+000 ,0.000E+000 ,0.000E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.                                                                                                                                                                                                                                                                                                                                 ,Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                                                                                                                           
