Forward: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Transformation from EGBT22_Geod to ETRS89_DREF91 with ellipsoidal height 0.
Reverse: Transformation from ETRS89_DREF91 to EGBT22_Geod with ellipsoidal height 0.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
dxRoundTrip,dyRoundTrip,dx,dy
-1.819E-010,-5.966E-010,1.720E-012,-9.788E-013
1.628E-010,-1.244E-009,1.727E-012,-9.699E-013
-2.365E-011,1.717E-009,1.755E-012,-9.681E-013
3.274E-011,7.421E-010,1.734E-012,-9.663E-013
-8.004E-011,-8.367E-010,1.727E-012,-9.663E-013
1.792E-010,1.368E-009,1.734E-012,-9.734E-013
-7.640E-011,5.530E-010,1.741E-012,-9.717E-013
1.164E-010,-9.677E-010,1.741E-012,-9.699E-013
8.913E-011,-2.765E-010,1.727E-012,-9.681E-013
-3.638E-012,-1.186E-009,1.727E-012,-9.681E-013
-1.182E-010,-1.164E-009,1.741E-012,-9.752E-013
-1.146E-010,-5.821E-011,1.755E-012,-9.770E-013
2.001E-011,-8.004E-010,1.720E-012,-9.717E-013
1.128E-010,-1.310E-009,1.712E-012,-9.734E-013
-1.783E-010,7.276E-011,1.712E-012,-9.734E-013
-2.819E-011,1.353E-009,1.748E-012,-9.805E-013
-1.110E-010,1.921E-009,1.748E-012,-9.770E-013
-9.823E-011,-9.022E-010,1.741E-012,-9.770E-013
6.003E-011,-2.619E-010,1.741E-012,-9.734E-013
-6.548E-011,-1.339E-009,1.748E-012,-9.699E-013
5.093E-011,-3.638E-012,2.103E-012,-1.172E-012
1.255E-010,-1.415E-009,2.103E-012,-1.174E-012
1.073E-010,1.404E-009,2.082E-012,-1.172E-012
9.095E-011,1.051E-009,2.103E-012,-1.171E-012
2.547E-011,-1.630E-009,2.082E-012,-1.169E-012
1.364E-011,2.838E-010,2.096E-012,-1.180E-012
6.366E-011,1.004E-009,2.117E-012,-1.180E-012
-2.929E-010,2.168E-009,2.110E-012,-1.176E-012
-1.637E-011,7.421E-010,2.117E-012,-1.171E-012
-6.548E-011,4.075E-010,2.117E-012,-1.172E-012
4.547E-012,-1.171E-009,2.096E-012,-1.181E-012
1.855E-010,-1.339E-009,2.096E-012,-1.181E-012
2.747E-010,6.912E-010,2.096E-012,-1.172E-012
8.185E-011,6.476E-010,2.089E-012,-1.174E-012
-3.056E-010,-2.081E-009,2.082E-012,-1.178E-012
-4.820E-011,1.048E-009,2.110E-012,-1.185E-012
1.946E-010,2.321E-009,2.117E-012,-1.181E-012
3.820E-011,-3.565E-010,2.117E-012,-1.178E-012
9.641E-011,-8.149E-010,2.089E-012,-1.180E-012
3.638E-011,1.513E-009,2.089E-012,-1.178E-012
-9.277E-011,3.783E-010,2.117E-012,-1.187E-012
2.792E-010,-3.783E-010,2.103E-012,-1.185E-012
-5.457E-011,1.906E-009,2.110E-012,-1.178E-012
3.638E-011,-1.193E-009,2.103E-012,-1.180E-012
-7.276E-012,-9.604E-010,2.103E-012,-1.178E-012
-3.547E-011,1.164E-010,2.103E-012,-1.194E-012
2.692E-010,-7.130E-010,2.089E-012,-1.187E-012
6.185E-011,8.731E-010,2.089E-012,-1.185E-012
-4.002E-011,-4.307E-009,2.089E-012,-1.185E-012
-5.821E-011,2.066E-009,2.117E-012,-1.183E-012
